id,followers,username,own_time,last_time,Hop,Non_follower
774948598089863172,70,coveredinmagic,24439,24439,1,0
1238862214829752320,158,julia_huliaa,24439,24439,1,0
2840698461,405,geminigabe,24385,61858,1,0
31220334,2000,badn3wzz,24378,667808,1,0
464259913,260,Alijah_Mack,24367,24367,1,0
2541286564,785,alloftina_,24362,38577,1,0
1713830221,2016,Ti_dade,24358,667808,1,0
1296438142652866563,384,yslosiris,24367,667808,2,0
152355705,3781,the_Locsterr,24331,667808,1,0
286426799,665,bethie_jay3,24323,24323,1,0
1002680484,83,uglyandcute,24321,24321,1,0
172137217,1745,minosoar,24295,667808,1,0
1453950703,1085,Lebo_Short,24282,667808,2,0
2357204103,4550,JSL2TV,24240,667808,2,0
1147118806776582145,141,inesamartinss,24228,24228,1,0
1735529798,666,mayukxx,24209,80716,2,0
1056622322617061377,339,EyadShanan,24201,30266,1,0
850321502834655232,4,prmtako,24199,24199,0,1
154294764,1607,coloursoul_,24223,667808,1,0
795653891702587392,466,_gathecha_,24179,667808,2,0
811021005623795712,106,logic_mike01,24153,24153,1,0
53220876,491,kingxquan_,24129,667808,2,0
1213878960922083329,1660,_3mperor,24113,667808,2,0
1442613006,7353,jinelle___,24105,667808,1,0
850930308887322626,24,97_JRamirez,24079,24079,1,0
1470069623181787137,31,imhaydenbanks,24079,24079,1,0
994556814929866752,65,maypsrr,24079,24079,1,0
1247277572871917576,710,n0tlekan,24041,667808,3,0
786570275064283136,749,Slimdirty19,24035,667808,2,0
1238030311,2321,amandashitiko,24022,667808,2,0
1175127254986305536,364,ron_rews,24009,667808,2,0
39785944,809,AquarianIQue,24007,24007,2,0
1497695276911501315,242,Ayonla4,24007,667808,2,0
520828174,709,ChelseaNicoleFr,23962,23962,2,0
1040535851980120064,2316,CollinButondo,23942,667808,1,0
134447261,400,jujuperfection,23938,23938,0,1
1074771715241197569,3375,_essscee,23926,667808,1,0
1030402053456183296,3431,KayluMusic,23935,667808,2,0
1038328597,463,_Masonnnnnn,23935,23935,1,0
1437519691338207241,2248,flying360_,23896,667808,2,0
2571341591,703,lipsliketulips,23885,28398,1,0
1331321628446384131,37,Malik74641608,23866,667808,1,0
1598662491021537280,18,CarynIbarra,23861,23861,0,1
1205131368495235072,492,wordsofdolabomi,23818,667808,2,0
1134197688596148224,117,Kelebogile_vk,23808,23808,1,0
506003235,216,savannahjosilva,23803,23803,1,0
370920780,1493,vulnerablepizza,23797,50514,1,0
336112822,301,nadia_daher7,23771,23771,1,0
767303854178308096,160,lucspth_r,23762,23762,1,0
26357925,982,Sincerely_Vash,23747,667808,1,0
36240232,554,TinaTeenaTena,23743,667808,1,0
1535497574005735428,8,coldestk8,23686,23686,0,1
798348305994514433,1831,_apeman,23671,667808,2,0
333179893,405,Btch_GoToHell,23665,23665,1,0
1495685984779915271,317,qwenlikop,23651,513986,2,0
2515745403,391,Chauncey10will,23600,163756,2,0
430205295,1331,esi__kay,23595,667808,2,0
159307027,658,jopasta_,23583,667808,2,0
1091777295445045248,592,AsisiphoMditsh1,23561,667808,2,0
1610376026902740994,79,DAndreThePoet,23558,26860,1,0
1483491163948654597,1150,_Abdulqayyum_,23531,667808,2,0
2967164854,673,JaiiCole,23504,667808,1,0
273734969,1672,KooPa_DAtrOOpa,23488,667808,2,0
623202970,3008,Kofi_jabo,23504,667808,2,0
844989240,309,MarkySosa,23504,23504,1,0
214169025,404,awa_KEN_ing,23457,23457,1,0
2748869794,267,murdashaywrote_,23432,23432,1,0
1263131143781724160,412,Lebo_starwhite,23432,667808,3,0
3144034708,1041,Johnathan_H2,23413,667808,2,0
1299069796764520449,2834,greyvi__,23432,667808,2,0
1220766631405785093,1134,_Trippie999,23373,667808,2,0
1425956593343074309,36,her_alone_,23366,23366,2,0
906602818106257408,260,universalkamz,23355,269276,1,0
1390963152,348,preettxkaurr,23360,667808,2,0
572870697,2329,renee_edithxo97,23337,667808,1,0
1344204603605319681,2215,_AIMO_,23360,667808,3,0
826989992,1184,banksonwunyi90,23320,667808,0,1
1265666316960071681,96,lee_demeris,23292,23292,1,0
3369909779,1184,SJbrigante,23281,667808,1,0
236173970,987,6reebtw,23265,667808,0,1
798974773887959044,683,GOATCurtis13,23248,23248,1,0
1596449158956826624,365,ifo444,23238,667808,1,0
976803200346001409,1086,Abutii_Vincent,23227,667808,0,1
1514025914258108417,175,AsandaSobhuzaD,23226,667808,2,0
555273371,1237,Make_it_Nashy,23223,23223,1,0
3402859660,4207,bbigboujee,23219,667808,2,0
1248404402790154240,194,dc_drip,23216,667808,0,1
1000013009861963777,128,_CarlosMoreira_,23213,23213,1,0
1405273579315335174,37,ItsMarkos999_,23216,23216,1,0
4323413412,207,jeromiiiey,23171,23171,2,0
2742181245,500,ElliKing_,23166,667808,2,0
237970481,548,dami_adebajo,23148,667808,2,0
1640761183,371,fentylmj1,23144,667808,1,0
1289095404877905923,579,alexxsagi7,23131,667808,3,0
1440546315889307651,767,Fihliwe_,23106,667808,0,1
1108045976063934464,1869,Osprey_2178,23099,667808,0,1
129848601,1849,440UrPp,23090,182914,1,0
2154281243,822,jessethecav3man,23048,667808,2,0
1178170659710603264,32,JordanJDixon_,23037,23037,1,0
953869496170803200,495,remauvve,23014,667808,1,0
1389236622,368,iantravv,23000,23000,2,0
1171303161665114112,4741,Jaycyphar,22932,667808,2,0
159212098,1958,Alphi_Lexy,22903,667808,2,0
1336631278951608322,254,_JenniferMoloi,22890,667808,2,0
1571640079449264128,6590,V3INZELL,22889,667808,2,0
1153370408822988801,990,NimoTheG_,22876,667808,2,0
1623485392098844675,575,cali3carl,22875,667808,3,0
1482170023976353792,17,BrettForget,22858,22858,1,0
425415073,694,_ebHolley,22814,667808,1,0
1175750208237506560,2852,rubywidow,22784,667808,1,0
346508480,1001,iamerintoms,22784,22784,0,1
1237881010748096512,678,m0moniyi,22784,667808,2,0
1251565489492549634,551,kwandiiee,22742,667808,2,0
1180937424417017857,498,ceejaymarley1,22741,667808,2,0
1226825128622854145,580,BrimOnDecks_,22728,667808,2,0
842374102388244480,503,orjwlkr,22723,22723,0,1
1044231893032620033,1379,_notbanji,22712,667808,2,0
3197643916,1763,AshawoAkoma,22712,667808,1,0
748268565577474052,1161,dheryk_,22674,667808,2,0
4699052174,261,ruhaan_b,22656,22656,1,0
1311242964,35,bly_alex1,22640,22640,0,1
779864402,1176,Escorpion_DelR,22640,667808,2,0
212220172,8285,dapobaby,22581,667808,2,0
2249507032,97,t_youwildingBro,22580,22580,1,0
1011578630021971969,790,fonte_paak,22575,667808,1,0
4867279198,251,srenelle_,22563,667808,3,0
1345745701444136964,22,HikayWilfred,22556,22556,3,0
1179773644882501632,54,Lilliisart,22568,667808,4,0
3006113290,327,tranvouez5,22527,22527,1,0
1424028768,387,augustinepapi,22496,22496,2,0
208209998,3197,canterbury_cici,22467,667808,1,0
61505457,2272,itzz_mana,22449,667808,2,0
2984831303,267,_Tworight,22446,22446,1,0
1580857255662067713,73,penaAdams1,22440,22440,3,0
1166493867870511104,467,mia_nunessss,22425,22425,1,0
2309344726,1069,TheGodBobby,22425,667808,3,0
1472160354646040576,87,Bles09967889,22366,22366,3,0
750436526912335873,183,tiagomrb13,22353,22353,1,0
2468528740,2890,_OswinDeandre,22340,667808,2,0
1309370521319026688,155,Nii_The2nd,22328,667808,2,0
1535767413941469184,80,victorykokolae,22326,667808,2,0
810280428,1194,Se_Mone,22353,667808,2,0
81148700,733,oo1Finga_2WoRdz,22324,22324,1,0
995030557468831744,681,Titomi_,22353,667808,3,0
1423674845603188737,215,frvrvanda,22314,667808,1,0
799450778901630978,16822,grandtheftnoise,22301,667808,2,0
207144192,947,SheGoCyGo,22284,38649,1,0
1113831497520287744,2163,kure_jnr,22281,667808,2,0
849763722,1441,thatlocdaries,22256,667808,3,0
989414634959581184,2035,mcbenditi,22281,667808,2,0
1173548243097149440,1428,Beamerboy7_,22281,667808,2,0
384906627,361,VanessaMbarga,22243,22243,2,0
880264867,698,TheLuis_H,22242,667808,2,0
3207512085,392,tannerelliott23,22212,22212,1,0
803931114893176832,83,emiliebrvn,22209,22209,1,0
1326458754557222912,528,albumdocumentry,22164,667808,3,0
1437081992449888261,24,jordanaryy,22162,25158,1,0
938864222913560576,3099,_malewa,22157,667808,2,0
1267893715802247168,1307,OnielKaycee,22152,667808,2,0
1324844648,87,larryismartin,22146,667808,2,0
1628245633655275520,71,Abubaka72519778,22137,667808,2,0
1399317531127582722,785,Fefesephai1,22137,22137,1,0
813428876743495680,196,ArapWanjala,22083,22083,0,1
857497482099654657,6411,mannie___ross,22071,667808,2,0
232084968,538,Jasmariiabia,22056,667808,2,0
737597228,359,mizgvn,22065,22065,1,0
953490086716420096,182,badussy_____,22065,22065,1,0
28394820,6068,Fabulousity201,22023,667808,2,0
1641512394,14276,TheRealAStizzy,22017,667808,2,0
1050445521180139521,212,danielreplay3,21997,21997,2,0
991632906031456256,59,CASH_WAKOMAPULE,21993,21993,0,1
722854705,2732,JDott_O,21993,667808,2,0
1476592706,6669,BiteeSammiee,21953,491595,1,0
2607831831,882,ninafbina,21948,667808,1,0
626345942,1682,idonothaveanat,21884,667808,2,0
3434035049,2747,Dareal_Pterslim,21883,667808,1,0
958050522900127745,604,iknowwasupb,21837,21837,0,1
1531858697726599168,523,visionaerii,21807,667808,3,0
496555982,262,pdiddy_1997,21729,21729,1,0
949548805506019328,60,9trip_,21720,21720,0,1
923000001000767488,33433,orianevansygent,21704,667808,2,0
1160861053015810049,4545,WisdomYg,21705,667808,3,0
715584630141882368,3509,SomeNiggaBi_,21671,667808,2,0
971494747088064512,374,RoseBonnitaaa,21651,667808,1,0
3697514356,465,callmedessy,21644,21644,1,0
1227229929076555776,241,TrippyRegg,21643,21643,1,0
2322719565,41,blueboydolphin,21641,21641,1,0
997325180270768128,4973,mrsuhuyini,21638,667808,2,0
2328071290,453,jmaine_the_lion,21623,667808,1,0
158112702,2302,reggieiscrazy,21611,21611,2,0
1035845787819929600,793,ewuraaabenaaa,21599,667808,2,0
3290669860,472,axthxny,21581,21581,1,0
1038958127138463745,8528,tysonphotoo,21571,667808,1,0
362857320,755,JaayBearTM,21569,21569,1,0
1032379657281318920,1414,BulletAgain_RSA,21564,667808,1,0
1192540730830532608,101,_prplszn_,21557,667808,2,0
2404791854,325,kxpenick,21561,667808,2,0
1065860531003760642,1527,KhanaryNados,21561,667808,2,0
1488770799221760002,1464,DarrenVickMell2,21509,667808,3,0
832664360,750,aj_marinda,21494,28398,0,1
893247738867044356,173,ashleyyyfink,21492,21492,1,0
178037289,510,NJINA_,21489,667808,1,0
1253477227452399616,159,stonewya,21489,667808,1,0
2279200056,423,Conor_S_,21489,21489,1,0
966525077893283840,130,Lloydmajorkey1,21489,21489,1,0
495220839,1406,LightYagamiSA,21489,667808,2,0
1447931995,220,D2bleD,21445,486068,1,0
1554325967908249600,409,Designermomodu2,21437,667808,2,0
4818155086,437,o4Tetteh,21428,667808,2,0
286525056,1656,nifulla,21424,667808,1,0
2884226208,399,kyracristene,21417,269276,1,0
876240784621699077,260,laika_angel_,21417,300761,1,0
462256935,1978,larry_hyper,21397,667808,0,1
1138179068728434688,199,ayoub91s,21370,21370,1,0
720883244,459,mrF3RDINAND,21304,31783,1,0
487741260,48,IMaures,21277,21277,1,0
817183229233008641,89,flownenhum,21273,667808,2,0
1340605477550518273,10,Jonnysniper1218,21273,21273,1,0
1606279661981700096,14,BlanchYarbrough,21241,21241,0,1
1084881655364497414,2281,_julessfr,21201,667808,2,0
1095225672379842561,440,OilmoneyWealth,21163,667808,3,0
3783174203,3108,gyasiwaaaa,21159,667808,2,0
496128627,268,SeeyahMtyela,21148,667808,1,0
1150495748997472256,6926,naokuren,21147,390503,1,0
4186621695,6215,Ke_gopcha,21146,667808,1,0
411022673,649,moshplayss,21137,667808,3,0
3366083133,276,_nuvien_,21135,21135,1,0
275795679,263,Dapoflygerian,21128,21128,1,0
1421817175363444746,48,boydc_,21129,21129,3,0
1448893287042109463,11,VictorOmotayo9,21129,21129,1,0
879244997366874112,1338,OfficialDylsey,21129,21129,1,0
1088069821240168448,281,kaylaaabd,21081,21081,1,0
982170431644884994,657,the_olamidey,21057,667808,1,0
929905879742267392,229,0a__k8,21057,21057,1,0
1081162813798797314,1170,emmythewave,21005,667808,2,0
55003843,723,EzGettinDollaz,21002,21002,1,0
518893703,1360,BukolaVeronica,20981,667808,2,0
1429141161281740807,502,sey_ram08,20986,667808,2,0
1178854527526674437,696,ACTIONJACK___,20965,667808,2,0
37322380,388,Miss_Mekia,20986,667808,2,0
1009114110804537344,78,Jfundss11,20986,34088,1,0
4739087112,1411,xoravent,20934,667808,1,0
231192627,580,FLOYDMONEY95,20921,667808,2,0
1147983871281127424,1922,meczenstwo,20914,667808,1,0
854345325116612608,427,777walkenby,20906,667808,2,0
764926230,140,TiffanyGalleria,20904,20904,1,0
905152782,139,Justine_Moh,20880,20880,1,0
952513116868247553,440,forgivemegod111,20850,20850,3,0
