id,time,type,prev_id,Engagement_index,Hop,Non_follower
175399810,48262,like,175399810,0,0,1
1609856396_1,48262,like,1609856396,1,1,0
1461773975265107976_1,48334,like,1461773975265107976,1,0,0
747999722,48334,like,747999722,0,0,1
412812061,48334,like,412812061,0,0,1
1135748354,48334,like,1135748354,0,1,0
178474012,48334,like,178474012,0,2,0
1582628610971672577,48334,like,1582628610971672577,0,3,0
3002417080_1,48334,like,3002417080,1,2,0
882230095292878848,48334,like,882230095292878848,0,2,0
1057350548,48334,like,1057350548,0,2,0
120027593,48334,like,120027593,0,2,0
822101690748956672,48407,like,822101690748956672,0,0,1
1094813514244468736,48407,like,1094813514244468736,0,1,0
611853584,48407,like,611853584,0,3,0
345843402,48407,like,345843402,0,2,0
1023441609315299329,48407,like,1023441609315299329,0,3,0
1227416318518988803,48407,like,1227416318518988803,0,2,0
236530033,48407,like,236530033,0,2,0
1480716757744635904,48407,like,1480716757744635904,0,1,0
1340984296316809216,48407,like,1340984296316809216,0,1,0
920642530072563713,48407,like,920642530072563713,0,3,0
618874404_1,48407,like,618874404,1,1,0
1488026871564484615,48407,like,1488026871564484615,0,0,1
1311466687384805376,48407,like,1311466687384805376,0,1,0
2293970037,48407,like,2293970037,0,1,0
700033362,48407,like,700033362,0,1,0
956981871145078784,48407,like,956981871145078784,0,1,0
1231336980702691334,48407,like,1231336980702691334,0,0,1
4458277228,48479,like,4458277228,0,2,0
1429850351201656837,48479,like,1429850351201656837,0,2,0
1536112574227431424,48479,like,1536112574227431424,0,1,0
2358563082,48479,like,2358563082,0,0,1
1240414817925693444_1,48479,like,1240414817925693444,1,1,0
1031600012231434241,48479,like,1031600012231434241,0,1,0
715309992245661696,48479,like,715309992245661696,0,0,1
2595820068,48479,like,2595820068,0,2,0
1065853650965164032,48479,like,1065853650965164032,0,1,0
1187465748999897088,48479,like,1187465748999897088,0,0,1
1303895942148562945,48479,like,1303895942148562945,0,3,0
1441395947481616398,48479,like,1441395947481616398,0,0,1
271088683_1,48479,like,271088683,1,2,0
1207771979505438721,48479,like,1207771979505438721,0,1,0
796417916833042432,48479,like,796417916833042432,0,2,0
1189955851454427137,48551,like,1189955851454427137,0,3,0
396845519,48551,like,396845519,0,2,0
2882462676,48551,like,2882462676,0,1,0
3317320104,48551,like,3317320104,0,2,0
479612904_1,48551,like,479612904,1,1,0
2262197491,48551,like,2262197491,0,2,0
341165663,48551,like,341165663,0,1,0
755083097029287936,48551,like,755083097029287936,0,0,1
4218234214,48551,like,4218234214,0,2,0
378828509_1,48551,like,378828509,1,1,0
787540404384198656,48551,like,787540404384198656,0,3,0
1179862135268151306,48551,like,1179862135268151306,0,0,1
1235602599639998464,48551,like,1235602599639998464,0,2,0
1158846960914358279,48623,like,1158846960914358279,0,2,0
905847079582535681,48623,like,905847079582535681,0,1,0
903113857400315904,48623,like,903113857400315904,0,1,0
916940633532719104,48623,like,916940633532719104,0,1,0
241811914,48623,like,241811914,0,2,0
543946308_1,48623,like,543946308,1,2,0
305901430,48623,like,305901430,0,1,0
1324227537610878977_1,48623,like,1324227537610878977,1,1,0
963370261440581632,48623,like,963370261440581632,0,2,0
3262636892_1,48623,like,3262636892,1,1,0
