Target,Source
1437582472024309768,1108050829393707008
59061072,1108050829393707008
1469474459555807232,1108050829393707008
1033215012318400512,1108050829393707008
89553324,1108050829393707008
303575427,1108050829393707008
340371380,1108050829393707008
1024686799866740736,1108050829393707008
30412960,1108050829393707008
1183879995078430727,1108050829393707008
1327127897631502336,1108050829393707008
797063474790670338,1108050829393707008
188490630,1108050829393707008
309229366,1108050829393707008
1365851358,1108050829393707008
314900032,1108050829393707008
1598343948862427136,1108050829393707008
1340784867647340546,1108050829393707008
380956254,1108050829393707008
23911099,1108050829393707008
55357164,1108050829393707008
1381004859634237446,1108050829393707008
25577879,1108050829393707008
969106146,1108050829393707008
56103984,1108050829393707008
40592431,1108050829393707008
431125703,1108050829393707008
938312029,1108050829393707008
1465797111644045322,1108050829393707008
1311416004,1108050829393707008
154812449,1108050829393707008
1069761238245302273,1108050829393707008
37732850,1108050829393707008
474625020,1108050829393707008
89041915,1108050829393707008
75538366,1108050829393707008
914897453819691010,1108050829393707008
1485054360598024197,1108050829393707008
1925466578,1108050829393707008
1260546826538713088,1108050829393707008
3434955599,1108050829393707008
2889252400,1108050829393707008
2984664053,1108050829393707008
1132790173702533120,1108050829393707008
58102245,1108050829393707008
556515698,1108050829393707008
1600332136191590401,1108050829393707008
1099840227827503104,1108050829393707008
1184383075,1108050829393707008
1025611501,1108050829393707008
1259714432,1108050829393707008
456745698,1108050829393707008
2998967764,1108050829393707008
72175386,1108050829393707008
1387113849841672198,1108050829393707008
20519861,1108050829393707008
447708819,1108050829393707008
823560810786070529,1108050829393707008
363413025,1108050829393707008
812374396044185600,1108050829393707008
1250936395562188800,1108050829393707008
426079015,1108050829393707008
350799686,1108050829393707008
213453315,1108050829393707008
837052374585856000,1108050829393707008
1019764751591600129,1108050829393707008
240394088,1108050829393707008
1605319505332146177,1108050829393707008
385440236,1108050829393707008
3867662902,1108050829393707008
19507880,1108050829393707008
1209405964509536257,1108050829393707008
1557100097506201600,1108050829393707008
864226123290480640,1108050829393707008
1517590908610527241,1108050829393707008
1395366368850153487,1108050829393707008
254131836,1108050829393707008
126592534,1108050829393707008
21719733,1108050829393707008
2915351287,1108050829393707008
1122174596348878848,1108050829393707008
1522226412966617088,1108050829393707008
3217677803,1108050829393707008
977360174,1108050829393707008
819368122096517120,1108050829393707008
3065609936,1108050829393707008
1372019341739356167,1108050829393707008
1869558612,1108050829393707008
113771426,1108050829393707008
1328738187724943360,1108050829393707008
836579420253138946,1108050829393707008
707668380619251712,1108050829393707008
594606299,1108050829393707008
1535340337505378305,1108050829393707008
437970734,1108050829393707008
289996998,1108050829393707008
506549185,1108050829393707008
344492862,1108050829393707008
1395950332275040257,1108050829393707008
1250043509224157184,1108050829393707008
1496635619820425217,1108050829393707008
1275477234829033472,1108050829393707008
116115371,1108050829393707008
3287819156,1108050829393707008
771722305319804929,1108050829393707008
2643772947,1108050829393707008
141334094,1108050829393707008
1233090136566460416,1108050829393707008
426772347,1108050829393707008
717552687789830144,1108050829393707008
1586001998582894593,1108050829393707008
365567035,1108050829393707008
215503689,1108050829393707008
129126623,1108050829393707008
188551143,1108050829393707008
1023946141,1108050829393707008
73250134,1108050829393707008
238768325,1108050829393707008
1288541043365994497,1108050829393707008
48579577,1108050829393707008
1537135567,1108050829393707008
3220720028,1108050829393707008
1434713440015224832,1108050829393707008
411925194,1108050829393707008
38328424,1108050829393707008
1462405170734583810,1108050829393707008
1074846002073493504,1108050829393707008
1586995482,1108050829393707008
