id,followers,username,last_time,Hop
4754526016,13532,Sharon_R_Nyika,667808,2
1037752338180653057,2329,pperezzzzz,667808,1
3042743665,225,Nellbeecky,667808,3
957733672995688449,459,iamchantel_b,667808,1
1967674176,194,Inioluwa_luv,21303,0
718486457611120640,1614,darrieWRLD,667808,1
940151790498209792,997,sonOfUtopia,667808,1
994902391827914752,461,96Kilo,667808,1
1310264530442878977,1711,g0os3_bumps,19513,1
1131999997342441472,453,Theolaa24,667808,2
745812969154445312,648,Jriveee,18172,1
94532034,9974,Wejood26,18070,1
1525440651797610497,507,tkibanedmai,667808,2
1205830089314840576,841,sparo__x,667808,3
1267220075590885377,124,Thokoza39124720,20554,1
1509172260875259905,1129,stanyelyah,667808,1
1148299901819924481,249,ptrkrnr,17461,1
1535443522706366464,531,AstralDemonKaos,29766,1
1461316773588918280,1101,GIRLTAKER147,667808,3
952604455,855,TakamaruReviews,17051,0
804466784250249221,1214,_theprincealex,667808,1
1169952206507917312,439,el_Vee__,667808,2
1396407068760887297,5395,kaysArkye,667808,2
1600315707606056960,6,kopo_sibusiso,16708,1
1268503415342104577,72,agabs___,16402,0
43563273,577,ceddytowa,566216,2
1555651289404645377,33,ChorkorCowboy,667808,2
2455037295,203,just_in_polo,33944,1
999597415463342080,893,Nkole_,667808,1
730696537685250048,1412,JustKlaiv,667808,1
1082041967150841857,5020,Gilbert4L,667808,2
1210130392868630528,532,stfuthug,667808,1
913027399914225664,1623,sizzn_,667808,1
1095326715251998721,7268,_UsangaKelvin,667808,1
709177344574025730,4188,aylodotsol,667808,1
1288827768453705729,324,iluvvhead,43207,1
213231285,454,beenFredy,667808,2
1311640911210778625,1119,Alhaji__Musa__,667808,1
3672291447,2489,olaforshow,667808,1
623537483,231,Mascarchota1,667808,1
1308711169532792832,1446,OjekaCollinsma2,667808,1
1481876205393559557,510,IAMDOUBLEXBABY,667808,3
1558962081147363328,53,VAyiwe,12346,0
2942874411,21,MarcAtkinson777,12342,1
939947125659467776,21,lilspoonin,12190,1
1613793038458933250,242,Paskieyy,11902,1
1319718926234910721,111,kreativeplug,11894,1
1286779656352530436,1972,Gyimmi1,667808,1
1508218325041565696,65,TweetKp4,11446,1
1556663036642983936,11,sambubob,11110,0
960933878901936129,2810,zintlevac,667808,2
3809298014,95,mindful_manny,10575,1
86558391,692,kaosisochvkwu,667808,1
1175723603599536128,2066,ConriqueWillia2,667808,1
1093130823593807874,446,I_rexBlacck,667808,3
1584302765123276801,16,ZweMccober,9800,0
977932236292087809,1216,Micaiah99,667808,2
563131708,1009,nathi_sonke,667808,2
1592127093084753921,141,didubrushyet99,9170,1
1163797004721561601,955,thabzabroe,667808,2
1013827937651609600,26,dan_shako,8549,1
1502329580656472069,39,Artitudezay,8238,1
1447050788,7292,panhoracy,7757,1
961309709155250176,248,mahnlikegatana,7650,1
35257357,351,tannamariesings,130429,1
1587238849893339138,22,ArturoParkerXYZ,7490,1
1257299274989056000,43,Dmdfaji,7194,3
1551837972982804481,147,adolgutierrez1,7113,0
3295201415,1002,hd_kuypers,667808,1
3929277376,1338,middlechighld,667808,1
1304083257500340224,28,tysavage_savage,6250,1
325845891,785,ggiovanii8,34811,1
1160370024457986050,586,FendiMani,667808,1
1468911102788521990,479,PrinceSanele11,19907,1
1394546036702515201,13,ArianaS62549147,5654,1
1095504941370748931,226,AmiraJowers,5602,1
2838023613,158,GypsyKingGK,667808,1
1535638039434764291,43,Prince832324772,5017,0
1285433135522439170,8,manlikeastro,4993,1
1521088017565462528,118,seez_blacktree_,667808,1
575880348,2506,eujeffersonh,4734,0
857654243314077696,817,Believer_Global,667808,1
1439219161,49,Drblaqq,4499,0
235781815,194,ItsMeT96,4435,1
1315072966301016064,334,dckempire,4338,1
183258321,421,HaREtHEDuKE15,5506,1
1232213776453292033,90,iriartep11,4272,1
1862562738,19,SuzzyWilson2,3736,1
4478710393,74,taint_whorelow,3493,1
1141904551915720704,19,Alex_07_2,3453,1
742401072853975040,27,mollullo,3376,1
1188524655054938115,520,isahsulzz,667808,1
393149455,351,thatJAIMESkid,667808,1
1300953759011475456,13554,campbarbmarley,667808,1
1559923150120435712,63,kekemuchacho1,667808,1
98522867,1742,beeroe93,115462,0
1619428731671515138,20,QTahshaar,2431,0
1260441399255801857,22,1_sun_,1847,1
452954624,41,084Corisma,1844,1
1264705230261956608,89,kadvander,1713,0
876096758,219,igor7_11,667808,1
722376736676147200,1253,edensftrbnd,667808,1
4515385754,21,StuartDepo,1478,1
1279738301499543558,692,psychoyasminaa,5459,1
1566680943062122497,506,bej3weled09,667808,2
938648953113010177,1367,sayrahh_xx,667808,1
2191960471,13359,XMPLMAG,667808,1
994304853081034752,531,NomceboMokoena7,667808,1
1267338408936067072,5105,YaniqueJLambert,667808,2
2658258952,221,vs5340565,1295,1
1555448395988316160,49,GoldLoopMenace1,1229,1
1293691025337266184,14,ed2rummy,1199,1
349503920,48,MairaWithAnI,1112,1
1281453602578460672,297,_OfficialYt1,21129,1
1091445985610481665,327,blaq_asuku,667808,1
95803370,660,NicBehave,667808,1
1264638270106828805,612,beaumsr,667808,1
1006986270705414144,70,JJForPeteSake,912,1
1266177277995487237,42,_Squeakyyyy,878,1
1348110328916279296,53,DStarRAW_,758,1
736941726984605697,1187,iisaiahnana,667808,1
721515672472137728,4943,_c_l_o__,667808,1
1274612217376321536,123,bryme_,667808,1
67771990,5461,KMoreLife,610,1
745815178025963524,51,DantesDad916,667808,1
416727398,9637,SoururYalda,667808,1
1408379072586162182,130,elnegrodepr,445,1
1120450388262625280,504,Mahmudbaffa_,667808,1
881290305433161728,11,LazyKiwi04,363,1
1212529495711764480,21,TySouffrant,667808,1
1549583735225548806,25,MvsNinja,270,1
1509950125304598533,112,GOHILL99,667808,1
1079822450861531136,6296,DiaryOfKeysus,667808,3
1551614384635609093,100,iiamlethuyung,66025,1
738512062830288896,1293,iadoredessy,667808,1
1110619631188959237,1053,Movichy_ZYM,667808,1
961475945382273025,307,VONNEYVONNERAY,667808,1
1251051475,490,AaronG2323,667808,1
441594076,911,_hiimchan,667808,1
958260676840968192,100,cinqueazy,87,1
1432189199004971009,227,vnxsilva,118,0
2881378237,404,_kenzxie,667808,1
1527030240916168708,34,MrRanking19,38,1
771007129742442496,5533,Wakas3rdCousin,667808,1
517938779,615,WyeBrown,667808,2
25932897,3183,rajifusama,620073,0
63559847,1389,justmedarnaii,594203,1
111219100,485,Trappin_Soulz,667808,1
1641319381127790598,24,wedyl4,575069,0
1082666185634840577,82,siin_ciity,571867,1
1009174934789218304,22,noeliaherreraaa,570549,1
1359088299135168513,178,Blixsman,667808,1
1186422153815777286,353,scroogebabymars,667808,1
2587966653,268,Setraaaaa,566411,1
134910210,1446,fega_rk,667808,3
90144982,979,LiLBaBiK,548425,1
1249166349110325250,30,devinS2me,511478,1
1161474218548240385,1963,kvngofthesea,667808,1
439433383,1187,angiee_lovv,507845,1
922970806501683201,124,patrice_wishart,534269,1
912174468650369024,114,lxyluv,506348,1
219621107,3280,ifeanyicris,667808,1
1105475486698872832,139,jxnnara,488745,1
235348371,945,Lexxxnikol,486293,1
350640413,843,AriesinVirgo,486022,1
26559143,963,MonieMoe09,667808,1
145472070,1289,Mocrimz,667808,1
1445168365,507,Mayracaandela,485131,1
375739816,210,BrownEyezBrinye,479877,2
464282081,6494,mmolaigaone,667808,2
1357354060613963776,831,SirWilliam_W,443638,1
799297581658624001,233,NompumeleloM__,667808,2
1251493286071734273,1823,collinsoshea__,667808,2
819175294200225792,426,diamondtrvp,667808,1
612192977,1406,RickFlairr_,377652,0
1231325349599993857,316,DC_Chaser_,667808,2
