id,time,type
1637173236722016259_1,717,like
1255519626,717,like
459528569_1,717,like
1428686505585913863,717,like
838111094237499392,717,like
952170249478078464,717,like
1514771733470801927,717,like
1331879449,717,like
65353714,717,like
1510061555941052426,717,like
1542151032754544644,717,like
27684694,717,like
1584012068713373700,717,like
1525578802583285761,717,like
1531732234037755904,717,like
1586861540422082563,717,like
820050311247253504,717,like
1597588139056537601,717,like
4747137694,717,like
1599409070573764609,717,like
768081570880028674,717,like
1588581240843771910,717,like
1525994520168505344,717,like
2409115782,717,like
1518673551972356098,717,like
385539740,717,like
1519027751935741953,717,like
1457899470192922627_1,717,like
1577428637254459392,717,like
1599222973390618624,717,like
1604633248998604800_2,717,like
3282912878,717,like
1550150209207824389_1,717,like
2829725548,717,like
1589102115502243840,717,like
2248308426,717,like
771458784577421312,717,like
1534610978611920896,717,like
1599490389353762817,717,like
921051813901725698,717,like
1615506839830921216,717,like
1511711687539372039_2,717,like
1585973300358008833,717,like
1594511893825294336,717,like
1363756521432170496,717,like
1518722925926490113,717,like
1392947253287997452,717,like
1886976685,717,like
3286921321_1,717,like
1587887244089729030,717,like
259679851,717,like
1586000143341461504,717,like
1351688528023924736,717,like
791790123478241280,717,like
757857246059442176,717,like
1200079369634537472,717,like
984765242898034689_1,717,like
1518638771645865987,717,like
1597256271714983936_1,717,like
1577329640355631104,717,like
1158077884076036097_1,717,like
829500602,717,like
1487994113286881280,717,like
2995482050,717,like
541849115,717,like
1580157895399833604,717,like
2298736908,717,like
1587260747633008641_1,717,like
939938202,717,like
468251298,717,like
1308727278,717,like
1058852535598018561,717,like
3296702778,717,like
932548376,717,like
942485030,717,like
91259961_1,717,like
2989891450,717,like
1112836240011943937,717,like
1503747392545427466,717,like
936335021677383680,717,like
1594368391443369985,717,like
1424534961000894465,788,like
1598283469238325248,788,like
1585970837798150146,788,like
1604645379886223360,788,like
1621684111713746949,788,like
884714371,788,like
1547923599238934528,788,like
1481474907091447811,788,like
1587332586237485060,788,like
1630604774604173314,788,like
539561409,788,like
1427674886743465991_1,788,like
2239631671,788,like
1518636090751561728,788,like
1048630354477703168_1,788,like
1043328070810255363,788,like
1271107195,788,like
1538859920,788,like
1060749533179564032,788,like
1224139404651958283,788,like
1586068691908796419,788,like
1338958177832931328,788,like
736132685534367744,788,like
260846049,788,like
1067205673,788,like
1587204879382183939,788,like
888519902415523843_1,788,like
1519380240388300802,788,like
3152205394,788,like
1486129201_1,788,like
434457726,788,like
824666067695968256_1,788,like
1508319004439556096,788,like
1586806608343990272,788,like
16034544,788,like
1483533004643393541,788,like
1586428489422753792,788,like
1524419436601503744,788,like
1590144200812552192_1,788,like
3052465196,788,like
1587151917708353537_1,788,like
1518733611624648704,788,like
1364318303494283267_1,788,like
1594159379955286023,788,like
1373788018750947332,788,like
1419213480033329153,788,like
1590856905924059136,788,like
581018869_1,788,like
1610133660782526474,788,like
36723210,788,like
394460892,788,like
915704670,788,like
1591822263606722560,788,like
403179450,788,like
3016957824,788,like
1585857363784994822,788,like
1526348357102346241,788,like
1601702004514078720,788,like
1594415973930409984,788,like
1557448081007939586,788,like
293401855,788,like
551832621,788,like
1598458165875675136,788,like
2792521190,788,like
39892596,788,like
1212057548670431234,788,like
1598377125622562816_1,788,like
722682715,788,like
1519099607157944320,788,like
50101827,788,like
1518787551414427649,788,like
891662315313123328_2,788,like
1111043699625152513,788,like
2896232636,788,like
469692993,788,like
1589703555581091842,788,like
746978838027112449,788,like
162387734_1,788,like
1555315570400182272,788,like
1256846987472695297,788,like
1249870872317435904,788,like
1026625087934537729,788,like
2531705957,788,like
926191525_1,788,like
1529192859559239684,788,like
837854766_1,788,like
1519108962267848704,788,like
1590795829110923264,788,like
63323219,788,like
1585997813116243969_1,788,like
1240131199017857025,788,like
24426321,788,like
1489004546110201857,788,like
1544650254628397056,788,like
1592382572352311297_1,788,like
1589430353097216000,788,like
1519120166822588416_1,788,like
1585957210429030401,788,like
1506881956738310146,788,like
1469699428068040706,788,like
962721874508689408,788,like
1520787800307683331,788,like
4863621565,788,like
3027191463,788,like
1327250342187307012,788,like
947485094285111296,788,like
1343959913807151105,788,like
1211063768420995072,788,like
429944222,788,like
392856976,788,like
1594081385332936704,788,like
409639329,788,like
1367962355552882691,788,like
999453060824002560_1,788,like
1320411274858070018,788,like
266248841_1,788,like
1620112882284257282,788,like
1594464826390040576,788,like
3401537074,788,like
1594143609972035584,788,like
3120335587,788,like
1327994814231666689,788,like
1627712178500272138,788,like
1536211036667273217,788,like
1586217890855780353,788,like
745288345773809664,788,like
4196528835,788,like
1452213936296808456,788,like
1608917441853231105,788,like
145602836,788,like
959442795995041793,788,like
1514590479014236160,788,like
1089569464469860352,788,like
1597754700560060416,788,like
78211786,788,like
1597298650178146304,788,like
1010709084277039104,788,like
1495832882987905036,788,like
1520957442313662465,788,like
86431166,788,like
1599811461416615938,788,like
1368668465305944068,788,like
1511344105913262090_1,788,like
1585521818,788,like
1593747569796124675,788,like
931670791586041857,788,like
1518693119902027779,788,like
1483857949806276608,788,like
1585801775621492737,788,like
1518971106933288962,788,like
1354751155,788,like
823628287364780032_1,788,like
1585952919051960321,788,like
1482002012178890760,788,like
807828926,788,like
1635366195393097729,788,like
1547233347507830785,788,like
32515704,788,like
1586002817671626752,788,like
263547148,788,like
1585448413105164288,788,like
563819114,788,like
982038030,788,like
2316382274,788,like
1496159990,788,like
1598823443495002113,788,like
955132687932571650,788,like
128575038,788,like
50514446,788,like
3363386068,788,like
947882731978948608_1,788,like
1616551479493492738,788,like
1551743765391491072,788,like
1192904169566416896,788,like
1585759594151911425,788,like
1630756134507229187_1,788,like
838550924503171072,788,like
821153324242268161,788,like
615770519_1,788,like
2401945380,788,like
1615806123486941208,788,like
1627885038535847936,788,like
1599091302452207616,788,like
138559032,788,like
1357420183992811520,788,like
1424731246622560265,788,like
934614302,788,like
527349476,788,like
28873972,788,like
2310614034,788,like
1519797754628825088,788,like
1576753954230239233_1,788,like
1395044551258083329,788,like
1266887309833703425,788,like
391388159,788,like
1298428078021058563,788,like
1537039870366998528,788,like
4851204699,788,like
635458097,788,like
43513640,788,like
868881140,788,like
2189000719,788,like
937826289209217024,788,like
409025896,788,like
1522442875,788,like
1633606768449273857,788,like
1511074724566245388,788,like
1380361306134446087,788,like
1443718943106011141,788,like
265691454_1,788,like
1519673084579618816,788,like
1617313340853784579,788,like
2924804214,788,like
1244148872252776450,788,like
33028600,788,like
877012906025508866,788,like
1511133576787636226,788,like
1603764382105829377,788,like
1519302327185944576_1,788,like
1620388786751291393,788,like
905117490,788,like
2996102595,788,like
1519281977496637444,788,like
1263989689263980544_1,788,like
1589281966075027456,788,like
1240032873404485634,788,like
1585832014426836993,788,like
1355697786231132160,788,like
39691102,788,like
2152826620,788,like
1024817656149487622,788,like
1362447346529931265,788,like
1619677860620386305_1,788,like
1246097046395912192_1,788,like
618148811_1,788,like
3349439261,788,like
1585694004200472609,788,like
748309380_1,788,like
30597839,788,like
1560741500841066497,788,like
993117859,788,like
1534705153743278080,788,like
499154896,788,like
385671660,788,like
1567525614743068673_2,788,like
3074904190,788,like
133907640_1,788,like
1587463629158449154,788,like
1507893883618922501,788,like
1444108860298600457,788,like
1247571770317602817,788,like
760578841832148992,788,like
2368903400,788,like
328228861,788,like
995845568760107008,788,like
1262097535805554689,788,like
134870385,788,like
752274913965244417,788,like
1001142771703463936,860,like
1637069589795287040_1,860,like
1519396550224449536_1,860,like
65503598,860,like
1246559550,860,like
1555614209299435525,860,like
1587439334206095363,860,like
1431146854851309572,860,like
1586039201556054017,860,like
883130021442932736,860,like
1518968159134490624,860,like
