id,followers,username,last_time,Hop
1307995539510886400,5,wearbeararts,249150,0
1094347547563438080,1,AstorBanks,246960,0
1087994858004975616,43,strand_odd,246331,2
293284143,231,Melorama2000,688144,3
1518934246416687106,2,ha54902376,245587,2
1599008590727192576,2,ed_mallette,244839,2
862303055076880389,50,LuckyDogMoon,688144,1
1609696908468961281,2,Joy51Mare,243200,1
334305193,34,CardinalTex,688144,2
150308253,57,someguynamedre,688144,2
1512418296695558144,572,MykMac13,241879,2
435016553,2227,LawBadger,688144,2
1560427761189126144,5,Livebimbo1,238291,5
2518613743,27,lapointesongs,237087,0
1572510395922792449,28,DavidSchiffman9,235134,1
1722009606,396,JiQed,688144,0
1598230950202077184,23,Mari11486351,228461,0
1627238554983182337,16,MDjukich,227393,1
1527578547614670849,105,babydoge1996,225613,1
831044367326408705,33,Elaineh532020,224802,0
409943112,64,lovealife06,224083,1
1428105744226914305,170,PMillerMightNot,223898,3
2331498373,1680,FloridaRenz,688144,2
743195317848334336,248,BridgetCT19,688144,3
45819119,25,fpariante,221439,1
1371645861160230913,8,JohnSierra1169,688144,4
1581742283950538754,292,StuNited4,688144,3
286949921,34,EvilUnder,218638,4
25641459,1921,LoViLu,688144,3
405824789,184,charlesconmole,218064,2
1529541225983922176,48,cheung27149,217735,2
1576418038081101824,1604,davidmuellerSC,688144,2
830589223598174209,9,TechLawyer2015,214106,2
3165872977,373,KimBramwell,688144,2
15024873,1786,ekingsbury,688144,3
1587287843394637824,28,and83669159,212511,1
1132047554923900928,1436,ziggyrelm,688144,3
1557545346355658761,5,Patrick20263787,210138,0
805973096,3,djphat2000,209763,2
41968624,565,DrD0315,209674,0
1491351547783139330,3,ohuffstickler67,208761,1
1479501145190010880,142,JBraz123,208686,1
1535093338839425050,3,YagNrop1,208532,4
1154454560796266497,3,edconnors3,207266,0
1517862848017354752,52,RCGme1,688144,0
838856881,287,uwezo3,688144,2
2998892936,2694,IrishBeserker,688144,1
1397245687704653826,31,RobinMcFarlane4,688144,1
1527025111630372864,0,JeffChild8,205397,1
705930749296447488,5,josey_wales11,205364,2
16505883,859,margoschloss,688144,2
3225537339,5,3of4kids18,203910,0
33815108,191,phinatic4life,203056,2
70075774,142,etrasmundi,202971,2
1622843075054936064,12,AppliedMAT,202050,0
1455993243959713801,253,Marktwain3211,200562,0
2894129590,664,dlb3dlb3,688144,1
734451042667102208,791,kb_katey,688144,2
290130336,5,EricksteinC,197755,0
1637915413332803584,2,UnitedNati88872,197258,1
1601042485303812096,0,VIs325,196616,0
307342991,1100,Lypsinka,688144,0
1632084444147269633,0,CarolFaus2,196211,0
1536337745215463425,2,southern5moke,195856,0
277159455,54,jbhannibal,688144,3
25230584,374,debra_daughter,688144,1
1164586419387547648,10,WhoCare08799028,195145,0
1519042508017180672,0,sandystem2,194990,1
1583221122908229632,0,RobertDewald9,194640,0
1631963544903356417,0,daz88888,194144,2
67098257,10,Blakeapalooza,194030,0
