Source,Target,follower
1543274074297737221,1324740006846423040,1
1543274074297737221,1498920872,1
1543274074297737221,1307069937073168384,1
1543274074297737221,1560672030495854593,1
1543274074297737221,1205976920124514307,1
1543274074297737221,4647768798,1
1543274074297737221,1148346738807365640,1
1543274074297737221,1551554477919985665,1
1543274074297737221,1105935038632337411,1
1543274074297737221,814498479267606531,1
1543274074297737221,1563171309319729152,1
1543274074297737221,1540344534004928513,1
1543274074297737221,1499522267222532100,1
1543274074297737221,1171303601047662592,1
1543274074297737221,1379775865899352067,1
1543274074297737221,1171303601047662592,1
1543274074297737221,1166931615240663040,1
1543274074297737221,1078887394860969985,1
1543274074297737221,1065781091104186368,1
1543274074297737221,1294537538154233858,1
1543274074297737221,2997436332,1
1543274074297737221,1129149544137187329,1
1543274074297737221,1124014813393432579,1
1543274074297737221,1122730713181237248,1
1543274074297737221,1296329125678813184,1
1543274074297737221,1445889861374726154,1
1543274074297737221,1005783911002202112,1
1543274074297737221,1429503706689638401,1
1543274074297737221,1390887067194781696,1
1543274074297737221,1481456734963130371,1
1543274074297737221,1566054944850976769,1
1543274074297737221,1591233834154180608,1
1543274074297737221,847448457941995521,1
1543274074297737221,1258196231735607299,1
1543274074297737221,1362345909800042503,1
1543274074297737221,1566111507905236992,1
1543274074297737221,1004919544832544769,1
1543274074297737221,1271070955255861248,1
1543274074297737221,1563926922983243777,1
1543274074297737221,2218517760,1
1543274074297737221,1439613882226692098,1
1543274074297737221,922088628540633088,1
1543274074297737221,1109437297311789056,1
1543274074297737221,1125322121511489536,1
1543274074297737221,1198730363356549120,1
1543274074297737221,1413266227649187849,1
1543274074297737221,1277815550375329797,1
1543274074297737221,1569790897189187584,1
1543274074297737221,1436488262579851264,1
1543274074297737221,1559722252463218691,1
1543274074297737221,1570431527657283589,1
1543274074297737221,1396357388807163904,1
1543274074297737221,1587773016343298048,1
1543274074297737221,1331336719812136960,1
1543274074297737221,1455711046841380873,1
1543274074297737221,756576476653359104,1
