Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
imissbreecehall,jalenbrunson1,2,1,1,1,1
tomogenesis10,jalenbrunson1,1,1,1,2,1
MatthewSeltzer1,jalenbrunson1,2,1,1,1,1
Baylee309,jalenbrunson1,2,1,1,1,1
cheray_12,jalenbrunson1,2,1,1,1,1
AnthonyEachus,jalenbrunson1,2,1,1,1,1
jamesgordineer3,jalenbrunson1,2,1,1,1,1
jgordon2012,jalenbrunson1,2,1,1,1,1
MIScards,jalenbrunson1,2,1,1,1,1
AcezVR,jalenbrunson1,1,2,1,1,1
M00KSTER44,jalenbrunson1,2,1,1,1,1
Justustalking2,jalenbrunson1,1,1,1,2,1
msheldon24,jalenbrunson1,2,1,1,1,1
GangGreenNYK,jalenbrunson1,2,1,1,1,1
2CantPlay,jalenbrunson1,1,1,2,1,1
_KyleGeddes_,jalenbrunson1,2,1,1,2,1
MikeStantonSZN,jalenbrunson1,1,1,2,2,1
greenonyodome,jalenbrunson1,1,1,1,2,1
PleaseGuardMike,jalenbrunson1,2,2,2,2,2
KNICKSTAPE67,jalenbrunson1,1,1,2,1,1
WyattSully,jalenbrunson1,1,2,1,2,1
dbweinfeld,jalenbrunson1,2,1,1,2,1
fillyfandan,jalenbrunson1,2,1,1,1,1
whodiswoman,jalenbrunson1,1,2,1,1,1
KnicksM0m,jalenbrunson1,1,2,1,2,1
RocThaChosen1,jalenbrunson1,1,2,2,2,1
_LMiiguel,jalenbrunson1,1,1,1,2,1
Easymonetray7,jalenbrunson1,2,1,1,1,1
jesswill02,jalenbrunson1,2,2,2,2,2
sdrose14,jalenbrunson1,1,1,1,1,2
GGoknicks,jalenbrunson1,1,1,1,2,1
JoshuaJMoreno,jalenbrunson1,1,1,1,2,1
DappperMax,jalenbrunson1,1,1,2,1,1
ssalandy9,jalenbrunson1,1,1,2,2,1
KnicksNIsh,jalenbrunson1,1,2,1,1,1
knicksneverends,jalenbrunson1,2,1,1,1,1
arizonaballer23,jalenbrunson1,1,1,1,2,1
n_abizzy2n2,jalenbrunson1,2,2,2,1,2
Rokco_,jalenbrunson1,2,1,1,1,1
Reggiecurry8,jalenbrunson1,2,2,2,2,2
KnickWitAtitude,jalenbrunson1,1,2,1,1,1
onlypainreyno,jalenbrunson1,2,2,2,2,1
mellamopk,jalenbrunson1,1,1,1,2,1
Mikey_Cooks,jalenbrunson1,1,1,1,2,1
TheBronxPulse,jalenbrunson1,1,1,2,1,1
VidalChai,jalenbrunson1,2,1,1,1,1
anthonylupini,jalenbrunson1,2,1,1,2,1
PostseasonJones,jalenbrunson1,1,1,1,2,1
DaBirdizDaWord,jalenbrunson1,1,1,1,2,2
sammydabber,jalenbrunson1,2,1,1,1,1
h0ldingplace,jalenbrunson1,1,1,1,2,1
pezdspencer_,jalenbrunson1,1,1,1,2,1
SleepEmOut,jalenbrunson1,1,1,1,2,1
HotTea7726,jalenbrunson1,1,1,2,1,1
BoughtAtAPrice7,jalenbrunson1,1,1,1,1,2
DuckyKnowsBall,jalenbrunson1,2,2,1,1,1
Karan9178,jalenbrunson1,1,2,1,2,1
StabTheCrab,jalenbrunson1,1,2,1,1,1
sotg91,jalenbrunson1,1,1,1,2,1
marlinfechas,jalenbrunson1,2,1,1,2,1
duro_nyc,jalenbrunson1,1,1,1,2,1
Echavez24,jalenbrunson1,1,2,1,1,1
TheTamirMoore,jalenbrunson1,2,1,1,1,1
__brooksy,jalenbrunson1,1,2,2,1,2
ChoosenBuns,jalenbrunson1,1,1,1,2,1
Taconacho11,jalenbrunson1,2,1,1,1,1
DiegoPi05034627,jalenbrunson1,2,1,1,1,1
Besimtweets,jalenbrunson1,1,1,1,2,1
weshjazz,jalenbrunson1,2,2,2,1,2
itsronezzy,jalenbrunson1,2,1,1,1,1
rads619,jalenbrunson1,1,1,1,2,1
BrownsvilleNYK,jalenbrunson1,1,1,2,1,1
Ransdelzkii,jalenbrunson1,2,2,2,2,2
TakisLakis7,jalenbrunson1,2,2,2,1,2
Wirmss,jalenbrunson1,1,2,1,1,1
ringdingspepsi,jalenbrunson1,1,1,1,2,1
NovaNationer,jalenbrunson1,1,1,1,2,1
darocho712,jalenbrunson1,2,1,1,1,1
alva_wave,jalenbrunson1,2,1,1,1,1
MarakotvitsWin,jalenbrunson1,1,1,1,2,2
Lord__Steez,jalenbrunson1,2,1,1,1,1
mcelwainYo,jalenbrunson1,1,1,1,2,1
BusterEriksson,jalenbrunson1,1,1,2,2,1
chancebarnhill,jalenbrunson1,1,2,1,1,1
QNC2,jalenbrunson1,2,2,2,2,2
knickswintrack,jalenbrunson1,1,2,2,2,2
hyzy_craig,jalenbrunson1,2,2,2,2,2
randomguy11233,jalenbrunson1,1,2,1,2,1
G_Reg18,jalenbrunson1,2,1,1,1,1
joshy_q,jalenbrunson1,1,2,2,2,2
Dametime2011,jalenbrunson1,2,1,1,2,1
sxpreme34,jalenbrunson1,1,1,1,2,1
jadedknixfan,jalenbrunson1,1,1,1,1,2
quickleyFanPag5,jalenbrunson1,1,1,1,2,1
nfgsteve,jalenbrunson1,1,1,2,1,1
Do_Thangs_,jalenbrunson1,1,1,1,2,1
tiririxz,jalenbrunson1,1,1,1,2,1
jon_appel,jalenbrunson1,1,1,1,2,1
josephdidato,jalenbrunson1,1,1,1,2,1
yujx_kk,jalenbrunson1,1,1,2,1,1
Roger_920,jalenbrunson1,2,1,1,1,1
TheNBPA,jalenbrunson1,2,1,1,1,1
knickstapeuk,jalenbrunson1,1,2,1,1,1
9Phantom6,jalenbrunson1,1,1,1,1,2
AminDamelaa,jalenbrunson1,1,1,2,1,1
ShaneLee_4,jalenbrunson1,1,1,1,2,1
drthuganomicsOG,jalenbrunson1,2,1,1,1,1
fahydog,jalenbrunson1,2,1,1,1,1
Zikuzuku,jalenbrunson1,1,1,1,2,1
numbersguydfs,jalenbrunson1,1,1,1,2,1
Doctor_Seraphim,jalenbrunson1,2,1,1,1,1
jcsports33,jalenbrunson1,1,1,1,2,1
LiorLampert1,jalenbrunson1,1,1,1,2,1
ScottSteel14,jalenbrunson1,1,1,1,2,1
reedreadreid,jalenbrunson1,1,1,2,1,1
Hayden_Backlund,jalenbrunson1,2,1,1,1,1
BigKnickEnergy_,jalenbrunson1,1,1,2,1,1
james_abanto,jalenbrunson1,2,1,1,1,1
TrulyBrito247,jalenbrunson1,1,1,1,2,1
lydia_shanen,jalenbrunson1,1,1,2,1,1
amyzambranoyoga,jalenbrunson1,1,1,1,1,2
danieltooslick,jalenbrunson1,2,2,1,1,1
YusufHawkins1,jalenbrunson1,1,1,1,2,1
victorrasuk,jalenbrunson1,2,1,1,1,1
hopefulmetsfan,jalenbrunson1,2,2,2,1,2
michellemccombs,jalenbrunson1,2,1,1,1,1
DanielPerez_MOI,jalenbrunson1,2,2,2,1,2
cookie23brony,jalenbrunson1,2,1,1,1,1
holliboy1997,jalenbrunson1,1,2,1,1,1
MikeBreenBangs,jalenbrunson1,1,2,1,1,1
kyleneptune,jalenbrunson1,1,1,1,1,2
Always_The_Over,jalenbrunson1,2,2,2,1,2
giantsfan826,jalenbrunson1,1,1,1,2,1
