Source,Target,t1612576063296622614,t1612576063296622614_time,t1612509545192120320,t1612509545192120320_time,t1612503789772148748,t1612503789772148748_time,t1612276811546742784,t1612276811546742784_time,t1612273411082031108,t1612273411082031108_time,t1612269254149312512,t1612269254149312512_time,t1612263492634943491,t1612263492634943491_time
bigbear_nick,dallasmavs,4,60331,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
BrentfordLiveUK,dallasmavs,4,7835,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
allieueckert,dallasmavs,4,1629,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
27Nateno,dallasmavs,4,93,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
shitegoblin,dallasmavs,3,-1,3,-1,3,-1,4,2916,3,-1,3,-1,3,-1
T__Brown52,dallasmavs,4,1882,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
iamkingtobster,dallasmavs,4,6343,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
madlaine_,dallasmavs,4,2985,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
JackYou53538107,dallasmavs,4,5384,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
PePaZootface,dallasmavs,4,1987,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
NGLP124,dallasmavs,4,1701,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
brandonbelue,dallasmavs,4,10489,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
tarantuladad,dallasmavs,4,3081,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
MaddyMcGrew,dallasmavs,4,4378,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
HOUSEofDUGGAN,dallasmavs,4,5272,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
EnotsSportsArt,dallasmavs,3,-1,3,-1,3,-1,3,-1,4,429,3,-1,3,-1
BSaundersSport,dallasmavs,4,8069,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
DrunkenNo_Odle,dallasmavs,4,8980,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
AKAtobersOwn,dallasmavs,4,2887,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Darlinj58433305,dallasmavs,3,-1,3,-1,3,-1,4,114,3,-1,3,-1,3,-1
MtDoji,dallasmavs,4,1280,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
dondon_1292,dallasmavs,4,8865,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
LilPudsNFT,dallasmavs,4,11853,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ChrisBSilva1,dallasmavs,4,1250,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Tongus9,dallasmavs,3,-1,3,-1,3,-1,4,705,3,-1,3,-1,3,-1
jjooee_00,dallasmavs,4,2843,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
LokensgardMike,dallasmavs,4,2285,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
slum17_,dallasmavs,4,9734,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Sarah6t,dallasmavs,4,3167,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
kelleysqkid,dallasmavs,4,8446,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
gus_logue,dallasmavs,4,2866,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
esteban_iggy,dallasmavs,4,10488,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
austindavis607,dallasmavs,4,7882,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
tonywil96611603,dallasmavs,4,1301,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
PattyLDixon,dallasmavs,4,14272,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
kfishke624,dallasmavs,4,2030,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
RevereAnnie,dallasmavs,4,2350,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
sailormontero,dallasmavs,3,-1,4,1923,3,-1,3,-1,3,-1,3,-1,3,-1
WeLoveVis,dallasmavs,4,2623,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
kenzienichols4,dallasmavs,4,16290,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ToddColemanMD1,dallasmavs,4,44014,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
RealJohnPowers,dallasmavs,4,7870,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
jasonlgriffin,dallasmavs,4,6897,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
generoth32,dallasmavs,4,3264,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
XYZ_dept3L,dallasmavs,4,3015,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
RadiantErick,dallasmavs,4,13779,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
KadeGreen7,dallasmavs,4,4605,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
CoachBrewer54,dallasmavs,4,6186,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
sherouselogan1,dallasmavs,4,2455,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
mlgoldschmidt,dallasmavs,4,10086,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
StephenCortez66,dallasmavs,4,10760,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Vimmy,dallasmavs,4,22260,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
keden14,dallasmavs,4,585,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
