level_0,index,id,time,type,followers,usernames
484,7832,1178393251352662021,16085,quote,238,kiaray360
488,7829,1498990415239856134,16143,quote,59,lovelyfl0p
490,7828,2362062617,16162,quote,1219,4mir__
491,7827,1073287303081152513,16181,quote,1451,nemesis000011
492,9480,3037061101,16183,retweet,1158,minajqueen08
494,9478,1733366240,16237,retweet,639,willywaterbends
498,7824,1251740395572269056,16373,quote,222,yourfavsucka
499,331,1607858430928117761,16406,reply,31,bratzdolled
500,7823,1113432624125632512,16427,quote,808,tonye_jb
502,7822,1471328148142886914,16433,quote,1331,TequilaLesbiana
504,9476,1904235204,16507,retweet,682,kdotravisdrizzy
505,7820,96294700,16509,quote,221,LightningBands
506,7819,2187517113,16510,quote,643,mrspettyonika
508,7817,615690316,16546,quote,2774,FxckArmy
510,7815,1078205094657748992,16577,quote,1532,rkiveroses
512,7813,1006745276722372612,16615,quote,971,keyxfendi
514,9475,2377849131,16623,retweet,1295,jayshmuny
515,329,435978822,16639,reply,1035,FrancerAndre
518,7809,4115592273,16668,quote,4034,EnClaudeNeuf
519,7808,1901908404,16669,quote,1124,supersaeyan
524,328,4663971193,16776,reply,376,rayrock90
526,9474,703432509099417604,16865,retweet,540,couldnevaa__
528,7802,1005069781328900096,16886,quote,1301,catchaabeat
529,9473,1209742191079366657,16927,retweet,37,onek_is_dying
539,9471,1488064526255853576,17033,retweet,1336,aya_stanacc
547,7788,919805603526082560,17227,quote,644,oneceline_
548,9469,471339706,17247,retweet,4501,DEVrockstarr
549,7787,1275271572836749324,17256,quote,6,sweetbrwncarmy
550,7786,1503309457127661574,17323,quote,383,FAIRYODDPENlS
553,9468,1294523247040458752,17405,retweet,118,ganjaburns_
554,9467,1341842469303054337,17422,retweet,13142,jaychallenge1
555,9466,3669884534,17435,retweet,234,everythingoess_
556,9465,135534164,17482,retweet,1281,jeoonjunie
557,7783,1510811430194495490,17497,quote,756,clitprints
558,9464,41518389,17506,retweet,3611,millenniaprince
559,7782,1537038738005581824,17507,quote,19,kamamaraj
560,7781,1537692829899710465,17514,quote,2267,terrariuh
561,7780,1459127364458266640,17580,quote,139,neonburrito78
562,9463,1118824294904152064,17590,retweet,102,MathildeFrdt
566,7777,1265534882102554625,17738,quote,48,justdatguybruh
568,9462,241116704,17752,retweet,1601,T0MMYC_
571,7774,81442678,17799,quote,2823,smbaspride
574,7772,1319430281238056961,17836,quote,615,Wvkko
577,9459,821775118288506880,17885,retweet,1546,datalkinbook
579,7769,73815005,17888,quote,1555,BOWt_loc152
581,324,989358668880711681,17924,reply,225,ThattVirGOAT
584,7765,1176233392444190720,18009,quote,2448,222kiingg
585,9457,2772662008,18045,retweet,307,annavrnt
587,7764,25644851,18098,quote,2511,murraysmyname
591,321,1246198174076764162,18166,reply,1767,camilas_youknow
592,320,35762935,18204,reply,3072,engenhonovo
593,9455,1223034191497089026,18236,retweet,29,thamelbynature
594,7762,1003899552,18236,quote,532,ch0c0_b3ar
595,319,787694962578030592,18241,reply,71,jjon4h
597,9453,1047042898473168898,18318,retweet,798,selenlicious
599,9452,43943802,18339,retweet,1709,_venabme
600,7761,1290055498788732928,18351,quote,1168,SunnyD_A
603,7758,1445231266790510592,18421,quote,975,wazzupkelz
604,9451,766485746064715776,18427,retweet,168,xxn_red
607,7757,1149550055252221952,18479,quote,58,iheartcoochi
611,9448,1109489742507319302,18596,retweet,408,TheJokerC1
614,9447,1287386526360494080,18670,retweet,615,barbmazdelrey
615,7751,1514145764,18776,quote,145,gggaelll
618,9446,1457537501095149569,18787,retweet,173,Bigbarbiee1
619,7749,4633159212,18788,quote,492,kiimbo_2
620,9445,836222642646495233,18799,retweet,1945,kabsraj
622,9444,994679694,18804,retweet,130,angieea26
623,7747,1384019381491933185,18810,quote,52,Elxbruh
624,7746,1277424812550389760,18842,quote,776,xotierra95
628,7742,1180338291582865408,18910,quote,875,finestdoja
630,7740,357615469,18918,quote,534,d00byplz
631,9443,1282868866109104130,18918,retweet,129,thelazytogepi
633,7739,3045572044,18927,quote,298,kvnxcvi
634,9441,4904069649,18945,retweet,278,brlkay
637,316,1479902506541101056,18987,reply,126,thotati0n2
638,9440,73962268,19014,retweet,1700,Royal__D
640,9439,713797716246069248,19028,retweet,623,jorgiebabes
643,7733,1411368697021747202,19040,quote,1099,xDaiablo
646,315,1223613790534672385,19132,reply,448,TRidesmith
648,7730,1081760042360233984,19137,quote,516,backedyoudown
653,9436,711746550,19255,retweet,7626,urmce
654,314,1416047275516862466,19268,reply,487,imnobodydear1
655,9435,535537386,19270,retweet,769,JustRolande
656,9434,32678317,19335,retweet,795,shankarma1
658,9433,1127282936884137985,19458,retweet,412,BigMom58353733
662,9432,1361706062575927301,19500,retweet,2602,ViralAmala
664,9431,273477289,19524,retweet,1569,jamesguuci
665,7722,964448145852821504,19528,quote,742,DI0RBRATZ
668,9429,1524018627552370692,19566,retweet,1164,Carlosrevival__
669,9428,1063571326315696128,19595,retweet,128,httttha
677,9424,1241145608267849736,19717,retweet,27,dojaher1
678,312,1396997796306227200,19719,reply,1407,badguypandaD
679,311,2471912622,19729,reply,1846,pIanetlalisa
681,7716,1064708729013194752,19736,quote,29,educatedblkgrl
683,9422,1573642700414484482,19760,retweet,188,grceonika
684,9421,1021520708961292290,19772,retweet,83,95petals
685,9420,1505243563487117318,19789,retweet,651,mileyfest
686,7714,857065208837263360,19854,quote,131,javianrojass
687,7713,743986326274334721,19894,quote,151,Lucerya_
688,9419,1045475206054248448,19903,retweet,709,NuclearSeasonX
689,9418,1248411268257665024,19905,retweet,221,kcole469
692,9417,1001510922115059712,19968,retweet,1053,Khazz3435
693,9416,1216104019472547843,20009,retweet,185,myasdvm6
699,9414,1573376703396823040,20135,retweet,338,liqea_hill
700,9413,847229493097840643,20139,retweet,487,27josemanuel27
701,7707,2472606763,20139,quote,1432,cattitude_girl
702,7706,570995968,20194,quote,1208,shadesoflam
703,9412,972601644562239493,20196,retweet,10,etherealact
705,7704,3384626645,20215,quote,454,kinahnoelle
711,308,1425541218172276745,20354,reply,206,YeahThatsKyle2
712,7701,1484684189580632065,20373,quote,422,K00MI11o8
715,9409,1304044184266043392,20434,retweet,105,smdderick
716,9408,1259292887562452999,20466,retweet,1916,cunttfairy
717,9407,1256098004668424193,20493,retweet,635,Bulybnulu
719,7698,1963045632,20587,quote,596,EvanBurkeLA
720,7697,1434593363102244867,20598,quote,299,cineromcoms
722,7695,1244530892682465281,20669,quote,1217,aegonism
725,7693,31703878,20775,quote,1527,ohrelly_
727,306,1577189965313761280,20819,reply,612,MINAJ_ARTORNEY
728,7691,2580983985,20821,quote,1416,ecofriendlybro
731,9405,999368092156342272,20910,retweet,1346,HAYDNCUNT
732,304,724840995607695361,20927,reply,9735,astroboyable
734,9404,1330004465131286529,21042,retweet,3885,angelspeachery
736,7688,1460296508247584770,21062,quote,50,Jenna011011
737,7687,852641232056700928,21078,quote,348,pinchebinch
739,9401,1159054394157150209,21088,retweet,132,dolllsly
740,9400,1614419561788440576,21104,retweet,68,NEEDlTINME2
742,7685,1377665405385334784,21123,quote,96,noah_krew
743,7684,1247248618727317513,21159,quote,840,knowledgesev
745,7682,1596165100964044802,21179,quote,148,bigbarbbbie
746,7681,1492275977216483331,21184,quote,209,torreylfc
747,303,1472326993547075594,21207,reply,605,NICKIRAPGENlUS
749,9399,363922487,21236,retweet,879,FOREVERamon
752,9397,15794338,21266,retweet,560,itsmebrocie
754,9395,1583603916473786370,21309,retweet,232,_tanerious
755,302,2168376014,21406,reply,3628,fazpo
756,9394,986238370580873224,21409,retweet,866,ambercouk
757,9393,2726978520,21502,retweet,540,Tito_C_
759,9392,474271423,21530,retweet,1335,simeonafrancis
760,9391,1412979412153339904,21567,retweet,68,PoncheCrema3
761,9390,1251067183612022784,21571,retweet,412,Its_Just_Aurora
762,7677,885490278307700740,21582,quote,2476,themooreyuhknow
765,9388,3304574266,21636,retweet,4255,777LINDEMANN
767,9387,105759317,21688,retweet,896,boyxieboy
773,9385,4736186195,21804,retweet,186,SLAYJENSEN
775,9384,364459449,21840,retweet,837,diegomanuelf10
777,9383,1329613885721206784,21864,retweet,346,anglelooloo
780,9380,829861008181182465,21995,retweet,4225,abelchoice
781,7669,1040674709266997251,21999,quote,198,RichieQuintero_
783,9379,1510333813116837888,22050,retweet,14,S_E_E_19
784,7667,1421311459254960129,22092,quote,107,sur33n
785,9378,1135141639054172161,22104,retweet,921,inevafuktwayne
787,7665,926060838,22119,quote,1871,louismimoro
791,299,893510978,22213,reply,8351,justme_Deja
794,7661,849262454706188289,22291,quote,180,harleysingotham
796,9376,967402404,22349,retweet,1182,guvpo_lindo
802,9374,1217970494336589825,22447,retweet,595,Stopdeletingm14
804,9373,745701683779428353,22464,retweet,628,N0214c
805,9372,1413580228283314178,22510,retweet,5736,swallowmynutttt
807,9371,65057208,22558,retweet,3169,SwallowMyTwids
808,297,2887347376,22584,reply,1158,StuckWFriends
809,9370,27180745,22586,retweet,585,eldoubleyou25
810,9369,3156860298,22634,retweet,3477,gayrawn
811,9368,1407604987115409414,22680,retweet,222,favorite_nicky
812,9367,401404404,22706,retweet,3891,hausofaitor
