Target,Source
1009404383895797760,1107738946237128704
1009652252448092160,1051293420
1009658922448379904,1543274074297737221
1009756304775221248,1543274074297737221
1009791900411355136,1543274074297737221
1010025699237740544,1543274074297737221
1010095140860334080,1543274074297737221
1010418432976867339,1543274074297737221
1010541436377489409,1543274074297737221
1010631558645014528,885477924589023232
1010631558645014528,1065756679
1011078922216312833,1543274074297737221
1011311221885276160,1543274074297737221
1011426770,3155902487
101149049,1543274074297737221
1011535201103515648,1543274074297737221
1011632105565061121,1543274074297737221
1011676890,428398147
1011676890,569246362
1011796909709774850,152454395
1011796909709774850,1543274074297737221
1011796909709774850,1390388083388977156
1012057087440924672,1543274074297737221
1012117108841476098,1522310622121054211
1012117108841476098,966394228480925696
1012327378239082497,1020781831
1012327378239082497,1169598181644128256
1012350101337997312,1543274074297737221
1012426878597128193,1543274074297737221
1012451424452644865,1543274074297737221
1012521756647514112,1543274074297737221
1012551428160696320,1543274074297737221
1012741854771732481,1543274074297737221
1013217089639809024,604459999
1013217089639809024,924992552998236160
1013321856831483904,1543274074297737221
1013385852733407232,1543274074297737221
1013604756,498571051
1013648249557848064,1543274074297737221
1013697152,2224284793
1013767000546410496,1543274074297737221
1013974497802637312,1543274074297737221
1013995270390943745,1543274074297737221
1014177081943576578,367943151
1014446576910192640,1543274074297737221
1014580883465097221,2245959180
1014877553616736256,1543274074297737221
1015083228946984960,22313434
1015426395391119362,2537731626
1015669669938810887,1543274074297737221
1015750116,1543274074297737221
1015806918689021952,1543274074297737221
1015817621869129728,1543274074297737221
1015948752064876545,1543274074297737221
1016118811471286279,1367094360291086337
1016118811471286279,1378187171136425992
1016349609172652032,1295423788834676736
1016490068222054400,1543274074297737221
1016731207244140544,1543274074297737221
1016740038854443009,1543274074297737221
1016751023858311168,1543274074297737221
1016856076598370309,4259741237
1017009438379524096,1151041460403240960
1017409644,1543274074297737221
1017682039,1543274074297737221
1017720943836319744,1543274074297737221
1017908961310224384,1543274074297737221
101791433,48928846
101791433,1003899552
101791433,525921821
101791433,1290055498788732928
1017967600209362944,1543274074297737221
1018189219,1543274074297737221
1018339764024459265,1543274074297737221
1018516706455506944,1543274074297737221
1018562585380171776,1543274074297737221
1018785513191272448,1543274074297737221
1018968138254340097,1543274074297737221
1019029184939790336,2393918623
1019029184939790336,724840995607695361
1019029184939790336,1090843991602393088
1019029184939790336,826191290
1019029184939790336,1367094360291086337
1019029184939790336,1378187171136425992
1019029184939790336,1259292887562452999
1019029184939790336,4904069649
1019330356107993088,3472776861
1019578906804776960,1543274074297737221
1019667480,1543274074297737221
1019910394838581248,1543274074297737221
1020000323786584065,1543274074297737221
1020039450091577345,1543274074297737221
1020075718850564097,3304646089
1020338335619747840,1543274074297737221
1020372352222318593,1541930683375157248
1020372352222318593,1567735776149897216
1020372352222318593,1078887394860969985
1020372352222318593,1383901675660869637
1020372352222318593,3098431476
1020372352222318593,4647768798
1020372352222318593,1543274074297737221
1020540554,1543274074297737221
1020660033498099713,1543274074297737221
1020781831,1229044308180905984
1020781831,1012327378239082497
1020781831,2585379117
1020781831,1344727910
1020781831,1485190778783686657
1020781831,1066431162938208256
1020955798573158401,1543274074297737221
1020978884475420672,1543274074297737221
1021051891638325248,1543274074297737221
1021054742053752832,1292559700651843586
1021054742053752832,2458251281
1021054742053752832,1473753129908908035
1021054742053752832,1261134243855347712
1021054742053752832,1543274074297737221
1021082176304173058,1543274074297737221
1021201080330285056,1543274074297737221
1021265595222769664,1543274074297737221
1021265632078131200,1543274074297737221
1021289079445520384,3423212577
1021289079445520384,842947642955087872
1021341345816825856,1543274074297737221
1021520708961292290,135534164
1021744805326544896,1543274074297737221
1021841028414926848,1543274074297737221
1021895707521896448,1543274074297737221
1021932265641660416,2722354859
1022033318257352704,1035622345032036352
1022462655200550913,1543274074297737221
1022491370110369792,1543274074297737221
1022513332392095744,1543274074297737221
1022579975503802368,1543274074297737221
1022681499915706369,1543274074297737221
1022890172977799168,719570253089476609
1022944129494528006,1566159228284182528
1022944129494528006,1567735776149897216
1022944129494528006,1306597194561019910
1022944129494528006,1184814992882683904
1022944129494528006,1317721729762914304
1022944129494528006,1078887394860969985
1022944129494528006,1506423107308900363
1022944129494528006,1473753129908908035
1022944129494528006,1543274074297737221
1023215850667614209,1543274074297737221
1023228798219612160,1543274074297737221
1023268964347113473,1363663167696560135
1023268964347113473,3368182540
1023436410,1543274074297737221
1023509719,1543274074297737221
1023640433203675136,938690576358170624
1023956255558139906,1543274074297737221
1024003585,1543274074297737221
1024282032522768384,1543274074297737221
1024341361162506240,1543274074297737221
1024544434292056064,1543274074297737221
